1.0	2924	电视剧
1.0	2924	金魁太
1.0	2924	金魁太
1.0	2924	郑智薰(Rain)
1.0	2924	申敏儿
1.0	2924	李基佑
1.0	2924	金莎朗
1.0	1469267	动漫
1.0	1470676	看看新闻
1.0	455705	全国-第三批学习实践
1.0	1372416	电视回看
1.0	477573	高清回看
1.0	188014	区县库
1.0	3854	理论政策
1.0	3745	重导
1.0	3749	全国-实用技术
1.0	1427976	娱乐
1.0	1434670	电视回看
1.0	1379077	排行
1.0	1379085	排行
1.0	469810	新农村建设
1.0	1392212	剧集
1.0	1392212	龚若飞
1.0	1392212	龚若飞
1.0	1392212	王雷
1.0	1392212	肖聪
1.0	1392212	江铠同
1.0	904462	栏目精选
1.0	469865	高清回看
1.0	364	文化素养
1.0	1492403	剧集
1.0	1492403	王文杰
1.0	1492403	王文杰
1.0	1492403	王志飞
1.0	1492403	姚笛
1.0	769486	电视回看
1.0	390	剧场
1.0	390	蔡岳勋
1.0	390	蔡岳勋
1.0	390	言承旭
1.0	390	戴立忍
1.0	396	基层党建
1.0	403	抒情
1.0	403	黎明
1.0	403	黎明
1.0	417	抒情
1.0	417	张洪量
1.0	417	张洪量
1.0	424	抒情
1.0	424	张柏芝
1.0	424	张柏芝
1.0	436	电视剧
1.0	436	池英洙
1.0	436	池英洙
1.0	436	安在旭
1.0	436	蔡琳
1.0	436	柳镇
1.0	436	朴善英
1.0	930740	剧集
1.0	930740	金姝慧
1.0	930740	金姝慧
1.0	930740	颜世魁
1.0	930740	寇振海
1.0	1832	电视剧
1.0	1840	理论政策
1.0	997819	电视回看
1.0	1372221	电影
1.0	1372221	马克·斯蒂文·约翰逊
1.0	1372221	马克·斯蒂文·约翰逊
1.0	1372221	尼古拉斯·凯奇
1.0	1372221	伊娃·门德斯
1.0	565626	剧场
1.0	565626	余丁
1.0	565626	余丁
1.0	565626	丁志诚
1.0	565626	刘威
1.0	565626	王刚
1.0	565626	朱琳
1.0	565626	岳红
1.0	565626	滕丽名
1.0	1920	全国-科普知识
1.0	716853	电视回看
1.0	1864	抒情
1.0	1864	李宗盛
1.0	1864	李宗盛
1.0	565630	剧场
1.0	565630	余丁
1.0	565630	余丁
1.0	565630	丁志诚
1.0	565630	刘威
1.0	565630	王刚
1.0	565630	朱琳
1.0	565630	岳红
1.0	565630	滕丽名
1.0	1872	理论形势
1.0	998539	动漫
1.0	1876	电视剧
1.0	1876	董志强
1.0	1876	董志强
1.0	1876	何冰
1.0	1876	罗海琼
1.0	1876	修庆
1.0	1876	张少华
1.0	1876	米学东
1.0	1113512	动漫
1.0	613655	电视回看
1.0	1430676	剧集
1.0	1430676	蒋家骏
1.0	1430676	蒋家骏
1.0	1430676	胡歌
1.0	1430676	唐嫣
1.0	1430676	邱泽
1.0	1430676	戚薇
1.0	2895	抒情
